timestamp,TP9,AF7,AF8,TP10,Right AUX
1673805927.942,-39.551,-26.367,-31.738,-8.789,0.000
1673805927.946,-49.805,-27.832,-38.086,-16.113,0.000
1673805927.950,-35.645,-20.996,-35.156,-6.836,0.000
1673805927.954,-30.273,-18.066,-30.273,2.930,0.000
1673805927.958,-46.387,-27.832,-30.273,-15.625,0.000
1673805927.962,-46.875,-27.344,-27.832,-26.367,0.000
1673805927.965,-38.574,-22.949,-29.297,-21.973,0.000
1673805927.969,-34.668,-33.203,-29.785,-22.949,0.000
1673805927.973,-35.156,-31.250,-29.785,-20.996,0.000
1673805927.977,-35.645,-23.926,-29.297,-21.973,0.000
1673805927.981,-39.062,-24.902,-31.738,-21.973,0.000
1673805927.985,-39.551,-26.367,-32.227,-17.578,0.000
1673805927.989,-36.621,-23.926,-39.551,-20.508,0.000
1673805927.993,-32.715,-17.090,-43.457,-19.043,0.000
1673805927.997,-20.996,-14.160,-25.879,-17.578,0.000
1673805928.001,-16.602,-13.672,-25.879,-20.020,0.000
1673805928.005,-20.996,-17.090,-34.668,-16.113,0.000
1673805928.008,-16.113,-16.113,-27.344,-10.742,0.000
1673805928.012,-13.672,-20.020,-21.973,-9.277,0.000
1673805928.016,-22.461,-22.461,-23.926,-10.254,0.000
1673805928.020,-19.043,-15.625,-25.879,-7.324,0.000
1673805928.024,-5.859,-16.113,-20.508,0.977,0.000
1673805928.028,-13.672,-19.043,-25.879,-3.906,0.000
1673805928.032,-17.578,-17.578,-35.156,-17.090,0.000
1673805928.036,-10.254,-10.742,-32.715,-13.672,0.000
1673805928.040,-39.551,-15.625,-32.227,5.859,0.000
1673805928.044,-58.105,-24.902,-30.762,6.836,0.000
1673805928.047,-48.828,-30.273,-38.574,-14.648,0.000
1673805928.051,-35.645,-35.645,-38.574,-16.113,0.000
1673805928.055,-29.785,-31.738,-31.250,-11.230,0.000
1673805928.059,-39.551,-19.531,-31.738,-13.184,0.000
1673805928.063,-38.086,-9.766,-25.879,-22.461,0.000
1673805928.067,-33.203,-11.719,-27.344,-21.484,0.000
1673805928.071,-34.180,-17.578,-26.855,-9.766,0.000
1673805928.075,-28.320,-16.113,-23.926,-8.789,0.000
1673805928.079,-37.109,-13.184,-31.738,-19.531,0.000
1673805928.083,-33.203,-17.578,-33.691,-26.855,0.000
1673805928.087,-18.066,-22.461,-31.738,-8.301,0.000
1673805928.090,-22.461,-28.809,-33.691,-3.418,0.000
1673805928.094,-16.602,-29.785,-40.527,-7.812,0.000
1673805928.098,-14.160,-26.855,-42.480,-11.719,0.000
1673805928.102,-19.531,-43.457,-39.062,-20.508,0.000
1673805928.106,-25.879,-42.969,-35.645,-10.742,0.000
1673805928.110,-29.297,-23.926,-32.715,-8.301,0.000
1673805928.114,-30.762,-27.344,-30.762,-15.625,0.000
1673805928.118,-38.574,-28.320,-36.621,-19.043,0.000
1673805928.122,-38.086,-27.344,-42.480,-19.043,0.000
1673805928.126,-34.180,-32.715,-39.062,-15.137,0.000
1673805928.130,-27.832,-26.855,-32.227,-17.578,0.000
1673805928.133,-23.438,-25.391,-34.668,-19.043,0.000
1673805928.137,-20.508,-36.133,-41.016,-13.672,0.000
1673805928.141,-20.020,-30.273,-35.645,-11.719,0.000
1673805928.145,-26.855,-18.555,-35.156,-24.414,0.000
1673805928.149,-26.855,-22.949,-33.691,-29.297,0.000
1673805928.153,-24.902,-26.367,-27.832,-25.879,0.000
1673805928.157,-35.645,-22.949,-30.762,-20.020,0.000
1673805928.161,-47.852,-21.484,-30.273,-27.832,0.000
1673805928.165,-44.922,-21.484,-30.273,-35.645,0.000
1673805928.169,-40.039,-23.926,-35.156,-30.762,0.000
1673805928.172,-35.645,-22.461,-37.598,-22.949,0.000
1673805928.176,-27.832,-27.832,-29.785,-11.719,0.000
1673805928.180,-27.344,-21.973,-26.367,-25.879,0.000
1673805928.184,-26.367,-12.695,-38.574,-36.133,0.000
1673805928.188,-38.086,-17.090,-33.203,-20.508,0.000
1673805928.192,-48.828,-18.555,-21.484,-15.625,0.000
1673805928.196,-35.156,-15.137,-25.391,-19.043,0.000
1673805928.200,-34.668,-17.090,-26.367,-21.973,0.000
1673805928.204,-48.828,-23.438,-23.926,-19.043,0.000
1673805928.208,-55.176,-26.367,-32.227,-15.137,0.000
1673805928.212,-44.922,-33.203,-41.016,-21.484,0.000
1673805928.215,-35.156,-24.414,-31.250,-30.273,0.000
1673805928.219,-34.180,-12.695,-23.926,-27.344,0.000
1673805928.223,-41.016,-23.438,-28.809,-22.461,0.000
1673805928.227,-44.922,-23.438,-28.809,-24.902,0.000
1673805928.231,-39.062,-23.926,-24.902,-25.879,0.000
1673805928.235,-30.273,-26.855,-20.996,-22.949,0.000
1673805928.239,-33.691,-21.973,-26.855,-21.973,0.000
1673805928.243,-46.387,-22.461,-36.133,-28.809,0.000
1673805928.247,-42.969,-21.484,-36.621,-37.598,0.000
1673805928.251,-26.855,-13.672,-34.180,-25.879,0.000
1673805928.255,-20.996,-16.602,-24.902,-7.812,0.000
1673805928.258,-32.227,-29.785,-19.531,-10.254,0.000
1673805928.262,-29.785,-29.785,-23.926,-22.461,0.000
1673805928.266,-16.602,-16.113,-30.762,-21.973,0.000
1673805928.270,-23.438,-20.020,-36.621,-16.113,0.000
1673805928.274,-30.762,-29.785,-46.875,-21.973,0.000
1673805928.278,-22.461,-29.785,-38.574,-20.996,0.000
1673805928.282,-20.020,-32.227,-26.367,-19.043,0.000
1673805928.286,-28.809,-28.320,-32.227,-31.250,0.000
1673805928.290,-38.574,-29.785,-32.715,-29.297,0.000
1673805928.294,-38.086,-25.879,-30.273,-18.066,0.000
1673805928.298,-37.109,-22.949,-38.574,-30.762,0.000
1673805928.301,-38.086,-27.344,-41.016,-37.598,0.000
1673805928.305,-35.645,-24.902,-35.156,-27.344,0.000
1673805928.309,-39.062,-25.391,-37.109,-19.043,0.000
1673805928.313,-35.645,-20.508,-35.156,-28.809,0.000
1673805928.317,-29.297,-21.484,-28.320,-41.016,0.000
1673805928.321,-36.621,-30.762,-34.668,-34.180,0.000
1673805928.325,-38.574,-28.809,-30.762,-19.043,0.000
1673805928.329,-41.016,-34.180,-23.438,-24.902,0.000
1673805928.333,-50.293,-35.645,-31.250,-38.086,0.000
1673805928.337,-45.410,-32.227,-27.832,-28.320,0.000
1673805928.341,-40.527,-41.992,-23.438,-22.461,0.000
1673805928.344,-41.992,-45.410,-28.809,-27.344,0.000
1673805928.348,-41.016,-31.250,-29.785,-23.926,0.000
1673805928.352,-31.738,-25.391,-32.715,-27.344,0.000
1673805928.356,-37.109,-16.602,-28.320,-16.602,0.000
1673805928.360,-41.504,-2.441,-27.832,-2.441,0.000
1673805928.364,-41.016,-8.789,-31.738,-20.020,0.000
1673805928.368,-40.527,-15.137,-27.832,-17.578,0.000
1673805928.372,-24.902,-10.742,-24.902,11.719,0.000
1673805928.376,-16.602,-14.648,-23.438,10.742,0.000
1673805928.380,-18.555,-23.438,-27.344,-2.441,0.000
1673805928.383,-8.789,-20.020,-28.320,1.465,0.000
1673805928.387,-7.324,-18.555,-29.785,2.930,0.000
1673805928.391,-7.324,-16.113,-37.109,5.859,0.000
1673805928.395,-6.348,-13.672,-34.668,5.859,0.000
1673805928.399,-16.113,-15.625,-24.414,-10.254,0.000
1673805928.403,-27.832,-26.855,-21.484,-20.020,0.000
1673805928.407,-31.738,-30.273,-25.391,-13.672,0.000
1673805928.411,-24.414,-21.484,-30.762,-24.902,0.000
1673805928.415,-19.531,-23.438,-37.109,-33.203,0.000
1673805928.419,-24.414,-36.621,-39.551,-27.344,0.000
1673805928.423,-37.109,-43.457,-39.062,-27.832,0.000
1673805928.426,-48.340,-29.297,-33.203,-22.461,0.000
1673805928.430,-49.805,-24.414,-31.738,-21.973,0.000
1673805928.434,-51.758,-30.762,-31.250,-30.762,0.000
1673805928.438,-54.199,-25.879,-30.762,-33.203,0.000
1673805928.442,-53.223,-22.461,-32.715,-25.879,0.000
1673805928.446,-43.945,-18.555,-24.414,-22.461,0.000
1673805928.450,-37.598,-19.531,-22.461,-32.227,0.000
1673805928.454,-36.621,-25.879,-21.973,-34.180,0.000
1673805928.458,-33.691,-29.785,-24.414,-25.879,0.000
1673805928.462,-28.320,-27.344,-28.320,-17.578,0.000
1673805928.465,-24.902,-23.438,-33.691,-28.320,0.000
1673805928.469,-29.297,-30.762,-40.039,-32.227,0.000
1673805928.473,-36.621,-33.203,-37.598,-17.090,0.000
1673805928.477,-46.875,-29.297,-42.969,-19.043,0.000
1673805928.481,-40.039,-30.273,-41.016,-26.855,0.000
1673805928.485,-21.484,-32.227,-33.691,-26.855,0.000
1673805928.489,-10.742,-30.273,-32.715,-20.508,0.000
1673805928.493,-21.973,-28.809,-35.156,-23.438,0.000
1673805928.497,-32.715,-12.695,-27.832,-36.133,0.000
1673805928.501,-34.668,-11.719,-25.391,-32.227,0.000
1673805928.505,-32.227,-20.996,-32.227,-21.973,0.000
1673805928.508,-26.367,-17.578,-28.320,-15.137,0.000
1673805928.512,-21.484,-20.508,-37.598,-21.973,0.000
1673805928.516,-16.113,-31.250,-42.969,-30.273,0.000
1673805928.520,-12.695,-37.598,-26.855,-20.020,0.000
1673805928.524,-23.926,-32.227,-26.367,-16.602,0.000
1673805928.528,-31.738,-25.879,-33.691,-29.785,0.000
1673805928.532,-30.762,-22.461,-36.133,-38.574,0.000
1673805928.536,-24.902,-17.090,-32.227,-30.762,0.000
1673805928.540,-25.879,-18.555,-31.250,-20.508,0.000
1673805928.544,-40.039,-14.648,-30.762,-15.137,0.000
1673805928.548,-46.387,-14.160,-23.926,-17.578,0.000
1673805928.551,-44.434,-21.973,-22.949,-14.648,0.000
1673805928.555,-44.922,-18.066,-30.762,-6.836,0.000
1673805928.559,-44.434,-14.648,-37.109,-9.766,0.000
1673805928.563,-37.598,-20.508,-29.297,-10.742,0.000
1673805928.567,-41.992,-30.762,-31.250,-18.555,0.000
1673805928.571,-42.480,-29.297,-32.715,-14.160,0.000
1673805928.575,-40.039,-23.926,-25.391,-10.254,0.000
1673805928.579,-46.387,-21.973,-24.902,-13.184,0.000
1673805928.583,-40.039,-22.461,-22.949,-18.066,0.000
1673805928.587,-39.551,-24.902,-27.832,-13.184,0.000
1673805928.590,-46.875,-21.484,-23.438,-4.395,0.000
1673805928.594,-32.227,-17.090,-16.602,-8.789,0.000
1673805928.598,-26.367,-13.184,-21.973,-9.766,0.000
1673805928.602,-29.785,-13.672,-25.391,-19.043,0.000
1673805928.606,-20.508,-18.066,-20.508,-14.160,0.000
1673805928.610,-9.766,-11.230,-16.113,-2.930,0.000
1673805928.614,-3.418,-9.277,-15.137,-13.184,0.000
1673805928.618,-4.883,-12.695,-24.902,-20.508,0.000
1673805928.622,-6.836,-4.883,-31.250,-10.254,0.000
1673805928.626,-10.742,-0.488,-23.438,-0.488,0.000
1673805928.630,-5.371,-10.742,-21.973,0.000,0.000
1673805928.633,0.000,-8.301,-26.855,-2.930,0.000
1673805928.637,-14.160,-10.254,-22.949,-2.930,0.000
1673805928.641,-13.184,-12.207,-15.625,7.324,0.000
1673805928.645,-13.184,-6.836,-13.184,9.766,0.000
1673805928.649,-21.973,-8.789,-7.812,3.906,0.000
1673805928.653,-17.578,-10.254,-4.883,9.277,0.000
1673805928.657,-20.996,-9.277,-9.277,15.625,0.000
1673805928.661,-25.879,-7.324,-9.277,16.113,0.000
1673805928.665,-22.949,-14.160,-11.230,9.277,0.000
1673805928.669,-20.508,-8.789,-15.137,9.766,0.000
1673805928.673,-20.996,5.859,-12.207,11.230,0.000
1673805928.676,-25.879,1.465,-14.160,8.301,0.000
1673805928.680,-29.297,-10.742,-16.113,-3.906,0.000
1673805928.684,-27.344,-7.324,-10.742,-16.113,0.000
1673805928.688,-29.297,-11.719,-11.719,-5.371,0.000
1673805928.692,-30.762,-21.484,-16.113,-3.906,0.000
1673805928.696,-22.461,-4.395,-13.672,-19.043,0.000
1673805928.700,-14.160,6.836,-9.766,-23.438,0.000
1673805928.704,-14.160,-4.395,-19.531,-20.996,0.000
1673805928.708,-20.508,-12.207,-26.367,-17.090,0.000
1673805928.712,-13.672,-14.160,-25.391,-11.719,0.000
1673805928.716,0.977,-9.277,-24.414,1.465,0.000
1673805928.719,0.977,-7.324,-17.090,14.160,0.000
1673805928.723,-5.371,-14.160,-21.973,0.488,0.000
1673805928.727,5.859,-14.648,-20.020,6.348,0.000
1673805928.731,1.953,-18.555,-17.090,11.230,0.000
1673805928.735,-16.113,-19.043,-23.438,-0.977,0.000
1673805928.739,-7.812,-8.789,-24.414,9.766,0.000
1673805928.743,-5.371,-8.301,-21.973,7.324,0.000
1673805928.747,-9.766,-14.648,-18.555,-6.348,0.000
1673805928.751,-8.789,-16.602,-18.555,-3.906,0.000
1673805928.755,-20.020,-20.996,-20.020,1.953,0.000
1673805928.758,-26.855,-17.090,-20.508,5.371,0.000
1673805928.762,-32.715,-16.113,-24.414,4.883,0.000
1673805928.766,-35.645,-17.578,-30.762,-4.883,0.000
1673805928.770,-33.203,-16.602,-31.738,-12.695,0.000
1673805928.774,-36.621,-24.902,-31.250,-13.672,0.000
1673805928.778,-34.180,-23.438,-27.832,-23.438,0.000
1673805928.782,-21.484,-11.719,-23.438,-22.949,0.000
1673805928.786,-14.648,-13.672,-23.926,-17.090,0.000
1673805928.790,-27.832,-22.461,-25.391,-16.602,0.000
1673805928.794,-28.809,-21.973,-30.762,-11.719,0.000
1673805928.798,-18.555,-19.043,-40.039,-27.344,0.000
1673805928.801,-23.438,-25.391,-45.898,-41.504,0.000
1673805928.805,-19.043,-29.297,-41.504,-29.297,0.000
1673805928.809,-22.949,-20.020,-41.016,-20.508,0.000
1673805928.813,-38.086,-16.602,-47.363,-33.203,0.000
1673805928.817,-38.574,-11.719,-36.133,-35.156,0.000
1673805928.821,-31.250,-7.324,-28.809,-25.391,0.000
1673805928.825,-25.879,-9.277,-34.180,-23.926,0.000
1673805928.829,-20.020,-12.695,-40.527,-21.973,0.000
1673805928.833,-17.578,-14.160,-38.086,-21.484,0.000
1673805928.837,-22.949,-17.578,-32.227,-22.949,0.000
1673805928.841,-24.902,-25.391,-35.645,-13.672,0.000
1673805928.844,-36.133,-29.297,-41.016,-11.230,0.000
1673805928.848,-40.527,-19.043,-33.203,-21.484,0.000
1673805928.852,-35.645,-14.648,-27.832,-25.391,0.000
1673805928.856,-37.598,-22.949,-37.109,-20.996,0.000
1673805928.860,-40.039,-25.391,-40.039,-28.320,0.000
1673805928.864,-44.922,-19.043,-37.109,-38.574,0.000
1673805928.868,-48.340,-21.484,-42.480,-41.992,0.000
1673805928.872,-44.434,-21.973,-43.945,-33.691,0.000
1673805928.876,-40.039,-20.996,-37.598,-19.531,0.000
1673805928.880,-39.062,-34.180,-35.156,-25.879,0.000
1673805928.884,-42.969,-41.504,-29.297,-38.086,0.000
1673805928.887,-47.363,-42.480,-24.902,-32.227,0.000
1673805928.891,-51.270,-40.527,-29.297,-27.344,0.000
1673805928.895,-46.875,-32.227,-34.180,-18.555,0.000
1673805928.899,-38.574,-27.832,-28.320,-13.184,0.000
1673805928.903,-41.992,-27.344,-29.297,-17.578,0.000
1673805928.907,-41.504,-24.902,-31.250,-3.906,0.000
1673805928.911,-37.109,-25.879,-23.926,-1.465,0.000
1673805928.915,-27.344,-27.344,-24.414,-2.930,0.000
1673805928.919,-19.043,-25.879,-32.715,-11.230,0.000
1673805928.923,-18.066,-21.484,-31.738,-9.277,0.000
1673805928.926,-23.438,-22.949,-27.832,-9.277,0.000
1673805928.930,-22.949,-24.414,-21.973,-19.531,0.000
1673805928.934,-16.113,-18.555,-19.531,-20.508,0.000
1673805928.938,-14.160,-29.297,-29.785,-16.113,0.000
1673805928.942,-11.719,-36.621,-19.043,-8.301,0.000
1673805928.946,-16.113,-30.273,-10.742,-13.184,0.000
1673805928.950,-18.066,-22.461,-28.320,-25.879,0.000
1673805928.954,-14.160,-12.695,-31.250,-21.484,0.000
1673805928.958,-10.254,-13.184,-20.020,-12.207,0.000
1673805928.962,-16.602,-12.695,-18.555,-15.625,0.000
1673805928.966,-26.367,-11.719,-24.414,-19.043,0.000
1673805928.969,-15.625,-19.531,-25.879,-10.742,0.000
1673805928.973,-17.578,-21.973,-29.785,-8.301,0.000
1673805928.977,-31.250,-21.973,-34.180,-22.461,0.000
1673805928.981,-32.715,-21.973,-25.391,-25.879,0.000
1673805928.985,-36.133,-20.508,-25.391,-20.996,0.000
1673805928.989,-42.969,-21.484,-28.320,-13.672,0.000
1673805928.993,-42.969,-26.855,-33.691,-12.695,0.000
1673805928.997,-33.203,-25.391,-34.668,-18.555,0.000
1673805929.001,-27.344,-21.973,-31.250,-15.625,0.000
1673805929.005,-31.250,-24.902,-33.203,-14.648,0.000
1673805929.009,-33.691,-21.484,-38.574,-15.625,0.000
1673805929.012,-30.762,-20.508,-39.062,-11.230,0.000
1673805929.016,-25.879,-27.832,-32.715,-13.184,0.000
1673805929.020,-28.809,-30.762,-30.762,-14.160,0.000
1673805929.024,-29.785,-26.367,-23.438,-14.160,0.000
1673805929.028,-18.066,-23.438,-28.809,-11.230,0.000
1673805929.032,-15.625,-29.297,-31.250,-9.766,0.000
1673805929.036,-23.926,-37.109,-22.949,-14.648,0.000
1673805929.040,-34.668,-31.738,-25.879,-27.832,0.000
1673805929.044,-32.227,-17.090,-27.832,-28.809,0.000
1673805929.048,-26.855,-14.648,-26.367,-20.508,0.000
1673805929.052,-20.996,-17.578,-29.297,-20.508,0.000
1673805929.055,-26.367,-27.344,-28.809,-19.043,0.000
1673805929.059,-34.668,-36.133,-32.227,-13.184,0.000
1673805929.063,-37.109,-24.902,-36.621,-18.066,0.000
1673805929.067,-38.086,-14.648,-30.273,-27.832,0.000
1673805929.071,-34.180,-16.113,-32.715,-28.320,0.000
1673805929.075,-28.809,-16.602,-37.109,-20.996,0.000
1673805929.079,-41.504,-20.020,-41.016,-12.695,0.000
1673805929.083,-67.383,-30.762,-39.551,-20.020,0.000
1673805929.087,-58.105,-32.715,-35.645,-22.949,0.000
1673805929.091,-49.805,-27.344,-38.574,-8.789,0.000
1673805929.094,-40.039,-29.785,-36.621,-11.719,0.000
1673805929.098,-27.344,-34.668,-37.598,-14.648,0.000
1673805929.102,-33.203,-38.574,-35.156,-5.371,0.000
1673805929.106,-30.762,-33.691,-32.715,-3.418,0.000
1673805929.110,-32.227,-19.043,-39.062,-11.719,0.000
1673805929.114,-29.785,-8.301,-38.086,-17.090,0.000
1673805929.118,-25.391,-10.254,-36.133,-24.414,0.000
1673805929.122,-25.879,-17.578,-35.645,-20.996,0.000
1673805929.126,-30.273,-20.508,-36.133,-21.973,0.000
1673805929.130,-36.621,-27.832,-34.180,-35.645,0.000
1673805929.134,-24.902,-32.227,-29.297,-33.691,0.000
1673805929.137,-27.344,-33.203,-22.949,-25.879,0.000
1673805929.141,-36.621,-31.738,-20.996,-28.320,0.000
1673805929.145,-42.969,-30.762,-27.344,-38.086,0.000
1673805929.149,-37.109,-29.297,-38.086,-39.551,0.000
1673805929.153,-36.133,-26.855,-38.086,-34.180,0.000
1673805929.157,-40.039,-28.320,-30.273,-24.414,0.000
1673805929.161,-44.434,-26.855,-33.203,-27.344,0.000
1673805929.165,-48.340,-22.461,-28.320,-34.668,0.000
1673805929.169,-39.551,-29.297,-29.785,-30.273,0.000
1673805929.173,-45.898,-31.738,-33.691,-30.273,0.000
1673805929.176,-45.898,-27.344,-23.438,-33.691,0.000
1673805929.180,-27.832,-32.227,-22.461,-29.785,0.000
1673805929.184,-18.555,-33.203,-25.879,-23.438,0.000
1673805929.188,-30.273,-22.461,-20.508,-9.766,0.000
1673805929.192,-34.668,-18.555,-23.926,-10.254,0.000
1673805929.196,-26.367,-21.484,-30.273,-17.578,0.000
1673805929.200,-24.902,-23.438,-28.320,-14.160,0.000
1673805929.204,-10.742,-22.949,-29.785,-6.836,0.000
1673805929.208,-7.812,-22.461,-33.691,-2.441,0.000
1673805929.212,-2.930,-22.461,-25.391,-0.488,0.000
1673805929.216,6.348,-28.320,-27.344,-3.418,0.000
1673805929.219,-13.672,-30.273,-42.480,-13.184,0.000
1673805929.223,-22.461,-24.902,-41.992,-13.184,0.000
1673805929.227,-16.602,-28.809,-37.598,-19.043,0.000
1673805929.231,-17.090,-28.320,-33.691,-27.832,0.000
1673805929.235,-20.996,-26.855,-34.180,-24.902,0.000
1673805929.239,-22.461,-22.461,-28.809,-11.719,0.000
1673805929.243,-22.949,-19.531,-25.391,-10.742,0.000
1673805929.247,-28.320,-19.043,-32.227,-19.043,0.000
1673805929.251,-27.344,-21.973,-36.133,-33.691,0.000
1673805929.255,-25.391,-28.320,-31.738,-26.367,0.000
1673805929.259,-25.391,-29.785,-30.762,-15.137,0.000
1673805929.262,-25.879,-27.832,-39.551,-30.273,0.000
1673805929.266,-27.832,-20.020,-34.668,-39.062,0.000
1673805929.270,-29.785,-14.648,-31.738,-26.855,0.000
1673805929.274,-37.598,-20.020,-38.086,-11.719,0.000
1673805929.278,-44.434,-23.438,-40.527,-17.090,0.000
1673805929.282,-28.809,-19.043,-44.434,-21.484,0.000
1673805929.286,-23.926,-19.531,-40.527,-12.207,0.000
1673805929.290,-26.855,-15.625,-32.715,-5.859,0.000
1673805929.294,-30.762,-12.695,-36.133,-11.230,0.000
1673805929.298,-32.227,-24.414,-32.227,-13.672,0.000
1673805929.302,-20.508,-27.344,-28.320,-6.348,0.000
1673805929.305,-18.555,-29.297,-26.367,4.883,0.000
1673805929.309,-25.879,-29.297,-27.344,-6.348,0.000
1673805929.313,-22.461,-17.090,-28.320,-18.555,0.000
1673805929.317,-12.207,-14.160,-25.879,-16.602,0.000
1673805929.321,-19.043,-24.902,-31.738,-15.137,0.000
1673805929.325,-33.203,-28.320,-30.273,-8.301,0.000
1673805929.329,-24.902,-13.672,-28.809,-6.348,0.000
1673805929.333,-22.949,-17.090,-30.273,-8.301,0.000
1673805929.337,-17.090,-21.973,-31.250,-14.160,0.000
1673805929.341,-14.160,-27.344,-34.180,-8.789,0.000
1673805929.344,-32.227,-30.762,-28.809,6.836,0.000
1673805929.348,-34.180,-27.832,-23.926,-4.395,0.000
1673805929.352,-40.527,-29.785,-21.484,-24.414,0.000
1673805929.356,-41.504,-27.344,-22.949,-17.090,0.000
1673805929.360,-36.621,-24.414,-29.785,-6.348,0.000
1673805929.364,-41.992,-19.043,-25.391,-12.207,0.000
1673805929.368,-38.086,-20.020,-17.090,-11.719,0.000
1673805929.372,-29.785,-21.973,-16.113,0.488,0.000
1673805929.376,-30.273,-15.625,-13.672,4.883,0.000
1673805929.380,-34.668,-20.996,-21.484,-2.930,0.000
1673805929.384,-29.785,-28.809,-29.297,-2.930,0.000
1673805929.387,-21.973,-25.879,-24.414,0.000,0.000
1673805929.391,-18.555,-33.203,-24.414,3.906,0.000
1673805929.395,-20.996,-31.250,-24.902,7.812,0.000
1673805929.399,-27.344,-17.578,-21.484,-7.324,0.000
1673805929.403,-29.785,-13.672,-27.344,-23.926,0.000
1673805929.407,-25.879,-16.602,-38.086,-19.043,0.000
1673805929.411,-21.973,-22.461,-35.645,-14.648,0.000
1673805929.415,-23.926,-24.902,-37.109,-25.879,0.000
1673805929.419,-36.133,-29.785,-36.621,-30.762,0.000
1673805929.423,-39.551,-36.133,-31.250,-25.391,0.000
1673805929.427,-37.109,-35.645,-28.809,-28.320,0.000
1673805929.430,-33.203,-33.203,-27.832,-32.227,0.000
1673805929.434,-36.621,-43.457,-37.598,-36.133,0.000
1673805929.438,-41.504,-38.574,-49.316,-28.809,0.000
1673805929.442,-41.992,-28.809,-47.852,-29.297,0.000
1673805929.446,-51.758,-28.809,-29.785,-33.203,0.000
1673805929.450,-40.039,-20.996,-17.578,-22.949,0.000
1673805929.454,-32.227,-22.949,-18.066,-8.789,0.000
1673805929.458,-42.480,-28.809,-21.973,-11.230,0.000
1673805929.462,-40.527,-19.043,-16.602,-14.160,0.000
1673805929.466,-34.180,-13.184,-15.625,-13.672,0.000
1673805929.470,-27.832,-29.785,-20.508,-6.348,0.000
1673805929.473,-29.297,-36.133,-25.879,2.930,0.000
1673805929.477,-29.297,-18.066,-36.621,-2.930,0.000
1673805929.481,-19.043,-6.348,-32.715,-7.324,0.000
1673805929.485,-16.602,-12.207,-19.043,-5.859,0.000
1673805929.489,-21.484,-20.996,-21.973,-3.418,0.000
1673805929.493,-27.344,-21.484,-26.367,-5.371,0.000
1673805929.497,-24.902,-19.043,-12.207,-12.695,0.000
1673805929.501,-18.555,-18.066,-11.230,-10.254,0.000
1673805929.505,-17.090,-20.996,-17.090,-2.441,0.000
1673805929.509,-20.020,-18.555,-17.090,-1.465,0.000
1673805929.513,-22.461,-17.090,-22.949,-4.395,0.000
1673805929.516,-19.531,-18.555,-24.414,-12.695,0.000
1673805929.520,-21.973,-12.207,-19.043,-12.207,0.000
1673805929.524,-19.043,-14.648,-15.625,-9.766,0.000
1673805929.528,-13.184,-11.230,-20.020,-14.160,0.000
1673805929.532,-17.090,-2.441,-16.113,-10.254,0.000
1673805929.536,-22.461,-11.230,-9.766,-8.789,0.000
1673805929.540,-8.789,-3.418,-12.207,-0.488,0.000
1673805929.544,-3.418,5.859,-14.648,12.207,0.000
1673805929.548,-18.555,-5.859,-21.973,-0.488,0.000
1673805929.552,-18.066,-4.395,-23.438,-1.465,0.000
1673805929.555,-12.207,-2.930,-13.672,8.789,0.000
1673805929.559,-25.391,-9.766,-20.996,-0.977,0.000
1673805929.563,-35.156,-15.625,-30.273,-16.602,0.000
1673805929.567,-25.879,-12.695,-19.043,-19.531,0.000
1673805929.571,-22.949,-5.859,-11.230,-9.766,0.000
1673805929.575,-27.832,-8.789,-14.160,-1.953,0.000
1673805929.579,-31.738,-4.883,-24.902,-6.348,0.000
1673805929.583,-27.832,-3.906,-35.645,-19.531,0.000
1673805929.587,-15.625,-8.301,-20.996,-6.348,0.000
1673805929.591,-13.184,-11.230,-12.207,5.371,0.000
1673805929.595,-27.344,-17.090,-17.090,-18.066,0.000
1673805929.598,-25.879,-15.625,-13.672,-20.020,0.000
1673805929.602,-22.461,-17.090,-13.672,-11.719,0.000
1673805929.606,-20.020,-25.391,-23.926,-10.254,0.000
1673805929.610,-17.578,-38.086,-29.297,-5.371,0.000
1673805929.614,-16.113,-34.180,-19.043,-7.324,0.000
1673805929.618,-13.672,-13.184,-16.113,-19.043,0.000
1673805929.622,-23.926,-10.254,-15.625,-9.766,0.000
1673805929.626,-32.227,-12.695,-16.602,-0.488,0.000
1673805929.630,-23.926,-13.184,-18.555,-8.789,0.000
1673805929.634,-21.484,-16.113,-15.625,-3.418,0.000
1673805929.637,-23.438,-20.996,-20.996,4.395,0.000
1673805929.641,-22.949,-26.367,-22.461,-6.836,0.000
1673805929.645,-23.438,-21.973,-16.602,-0.977,0.000
1673805929.649,-18.066,-18.066,-20.020,2.441,0.000
1673805929.653,-17.578,-22.461,-28.320,-10.742,0.000
1673805929.657,-18.555,-27.344,-26.855,-3.418,0.000
1673805929.661,-9.766,-19.043,-17.578,8.789,0.000
1673805929.665,-17.578,-16.113,-26.367,-5.371,0.000
1673805929.669,-29.297,-18.066,-26.855,-20.020,0.000
1673805929.673,-27.832,-15.625,-26.367,-22.461,0.000
1673805929.677,-30.762,-17.090,-23.926,-13.672,0.000
1673805929.680,-34.668,-25.879,-24.414,-20.020,0.000
1673805929.684,-35.156,-24.414,-33.203,-37.598,0.000
1673805929.688,-37.598,-20.996,-28.320,-28.809,0.000
1673805929.692,-38.086,-20.996,-27.344,-17.578,0.000
1673805929.696,-29.785,-27.344,-28.320,-28.809,0.000
1673805929.700,-33.203,-40.039,-32.227,-39.551,0.000
1673805929.704,-43.945,-25.879,-38.086,-33.203,0.000
